37
1	15	16	210.e9	0.01
2	16	17	210.e9	0.01
3	17	18	210.e9	0.01
4	18	9	210.e9	0.01
5	18	10	210.e9	0.01
6	11	18	210.e9	0.01
7	11	17	210.e9	0.01
8	12	17	210.e9	0.01
9	12	16	210.e9	0.01
10	13	16	210.e9	0.01
11	13	15	210.e9	0.01
12	14	15	210.e9	0.01
13	14	13	210.e9	0.01
14	13	12	210.e9	0.01
15	12	11	210.e9	0.01
16	11	10	210.e9	0.01
17	10	9	210.e9	0.01
18	9	8	210.e9	0.01
19	7	9	210.e9	0.01
20	10	7	210.e9	0.01
21	6	10	210.e9	0.01
22	11	6	210.e9	0.01
23	5	11	210.e9	0.01
24	12	5	210.e9	0.01
25	4	12	210.e9	0.01
26	13	4	210.e9	0.01
27	3	13	210.e9	0.01
28	14	3	210.e9	0.01
29	2	14	210.e9	0.01
30	1	14	210.e9	0.01
31	1	2	210.e9	0.01
32	2	3	210.e9	0.01
33	3	4	210.e9	0.01
34	4	5	210.e9	0.01
35	5	6	210.e9	0.01
36	6	7	210.e9	0.01
37	7	8	210.e9	0.01
